tributary,init_date,predict_date,lead_days,log_daily_q,mean_prior_weekly_q,mean_prior_monthly_q,lag_daily_q,delta_daily_q,season,water_year
Poultney River,2024-06-16,2024-06-19,3,-1.9811203243228173,-2.1835916265907858,-2.180156156587988,-1.9746814796995744,-0.006438844623242845,Summer,2024
Poultney River,2024-06-16,2024-06-20,4,-1.988431487515709,-2.142623984443517,-2.181194689353209,-1.9811203243228173,-0.007311163192891712,Summer,2024
Poultney River,2024-06-16,2024-06-21,5,-1.996299821916168,-2.0961117072309703,-2.1769591513981728,-1.988431487515709,-0.007868334400459087,Summer,2024
Poultney River,2024-06-16,2024-06-22,6,-2.003911022999323,-2.0442696928596873,-2.1822812085934253,-1.996299821916168,-0.007611201083154828,Summer,2024
Poultney River,2024-06-16,2024-06-23,7,-2.012586476147301,-1.9885973428588177,-2.1841182047587817,-2.003911022999323,-0.008675453147978018,Summer,2024
Poultney River,2024-06-16,2024-06-24,8,-2.015203277493145,-1.9894325411601494,-2.1733765796926994,-2.012586476147301,-0.0026168013458440775,Summer,2024
Poultney River,2024-06-17,2024-06-17,0,-2.014853495659929,-2.3037063151685766,-2.184587216164947,-2.444220404604193,0.42936690894426377,Summer,2024
Poultney River,2024-06-17,2024-06-18,1,-1.9747813560038283,-2.288327413108515,-2.1926270709619966,-2.014853495659929,0.04007213965610079,Summer,2024
Poultney River,2024-06-17,2024-06-19,2,-1.9814423994872423,-2.252653985592249,-2.1957508828141252,-1.9747813560038283,-0.006661043483414009,Summer,2024
Poultney River,2024-06-17,2024-06-20,3,-1.9888318540017567,-2.211732354182755,-2.196799805100779,-1.9814423994872423,-0.0073894545145143375,Summer,2024
Poultney River,2024-06-17,2024-06-21,4,-1.9968249477806637,-2.165277272182501,-2.1925771821936797,-1.9888318540017567,-0.007993093778907001,Summer,2024
Poultney River,2024-06-17,2024-06-22,5,-2.004753812804514,-2.1135102757918607,-2.1979161789329487,-1.9968249477806637,-0.007928865023850262,Summer,2024
Poultney River,2024-06-17,2024-06-23,6,-2.013587613516394,-2.0579583243345896,-2.199780361866214,-2.004753812804514,-0.008833800711880002,Summer,2024
Poultney River,2024-06-17,2024-06-24,7,-1.9899073898808783,-1.9964393541791896,-2.1990207037057017,-2.013587613516394,0.023680223635515585,Summer,2024
Poultney River,2024-06-17,2024-06-25,8,-2.003898456426255,-1.9928756247821824,-2.185061574587654,-1.9899073898808783,-0.01399106654537663,Summer,2024
Poultney River,2024-06-18,2024-06-18,0,-2.050268307119268,-2.355036401785135,-2.2076903909857495,-2.481816416396267,0.4315481092769988,Summer,2024
Poultney River,2024-06-18,2024-06-19,1,-1.9815259394601117,-2.3301468244282173,-2.213249265777086,-2.050268307119268,0.06874236765915653,Summer,2024
Poultney River,2024-06-18,2024-06-20,2,-1.9890443194197915,-2.289237127300562,-2.214300882901574,-1.9815259394601117,-0.007518379959679855,Summer,2024
Poultney River,2024-06-18,2024-06-21,3,-1.9959356957545025,-2.242812397502884,-2.210085113717637,-1.9890443194197915,-0.00689137633471093,Summer,2024
Poultney River,2024-06-18,2024-06-22,4,-2.0055288606546573,-2.1909183651085065,-2.215395424907675,-1.9959356957545025,-0.009593164900154827,Summer,2024
Poultney River,2024-06-18,2024-06-23,5,-2.0138061167673955,-2.1354771347726844,-2.217284609384494,-2.0055288606546573,-0.008277256112738218,Summer,2024
Poultney River,2024-06-18,2024-06-24,6,-2.0137739770409087,-2.0739893793674278,-2.216531999715949,-2.0138061167673955,3.2139726486857256e-5,Summer,2024
Poultney River,2024-06-18,2024-06-25,7,-2.026201307503771,-2.0071261737452337,-2.213602749541528,-2.0137739770409087,-0.012427330462862152,Summer,2024
Poultney River,2024-06-18,2024-06-26,8,-2.0314448984867606,-2.0036880309430196,-2.199328521665921,-2.026201307503771,-0.005243590982989765,Summer,2024
Poultney River,2024-06-19,2024-06-19,0,-2.0582639864737713,-2.3948400997940436,-2.2278574247306593,-2.5031212346800538,0.4448572482062825,Summer,2024
Poultney River,2024-06-19,2024-06-20,1,-1.9891354078562222,-2.364892980811197,-2.231384462726556,-2.0582639864737713,0.06912857861754906,Summer,2024
Poultney River,2024-06-19,2024-06-21,2,-1.9922560709977022,-2.3184812636472953,-2.227171631879278,-1.9891354078562222,-0.0031206631414799624,Summer,2024
Poultney River,2024-06-19,2024-06-22,3,-2.004936423091101,-2.2660615705733744,-2.2323632454965163,-1.9922560709977022,-0.012680352093398906,Summer,2024
Poultney River,2024-06-19,2024-06-23,4,-2.0111082487129086,-2.2105357062999014,-2.2342333190841877,-2.004936423091101,-0.006171825621807514,Summer,2024
Poultney River,2024-06-19,2024-06-24,5,-2.011530086238982,-2.148662541172575,-2.2333936814138853,-2.0111082487129086,-4.218375260736096e-4,Summer,2024
Poultney River,2024-06-19,2024-06-25,6,-2.0205042462902383,-2.0814787797215346,-2.230392047665209,-2.011530086238982,-0.008974160051256064,Summer,2024
Poultney River,2024-06-19,2024-06-26,7,-2.025414919027486,-2.0125334956658465,-2.226705955648728,-2.0205042462902383,-0.004910672737247879,Summer,2024
Poultney River,2024-06-19,2024-06-27,8,-2.027287408515589,-2.0078407717449487,-2.2113341557576502,-2.025414919027486,-0.0018724894881030352,Summer,2024
Poultney River,2024-06-20,2024-06-20,0,-2.0556266824570044,-2.432749239102425,-2.246706843631027,-2.5332577945123638,0.47763111205535935,Summer,2024
Poultney River,2024-06-20,2024-06-21,1,-1.9528353041781608,-2.39583627545292,-2.2446388926095806,-2.0556266824570044,0.10279137827884366,Summer,2024
Poultney River,2024-06-20,2024-06-22,2,-1.9951898822698075,-2.337785044261922,-2.2485588685874784,-1.9528353041781608,-0.04235457809164678,Summer,2024
Poultney River,2024-06-20,2024-06-23,3,-1.9986710087522797,-2.2808668170139788,-2.2501145376325278,-1.9951898822698075,-0.003481126482472119,Summer,2024
Poultney River,2024-06-20,2024-06-24,4,-1.9805781078524103,-2.217216903320848,-2.2488736986731728,-1.9986710087522797,0.01809290089986937,Summer,2024
Poultney River,2024-06-20,2024-06-25,5,-2.0019612758271945,-2.1456114306717256,-2.2448736140088004,-1.9805781078524103,-0.021383167974784234,Summer,2024
Poultney River,2024-06-20,2024-06-26,6,-2.0042315935327775,-2.074017150835603,-2.240589361654802,-2.0019612758271945,-0.002270317705582947,Summer,2024
Poultney River,2024-06-20,2024-06-27,7,-1.9941995005885444,-1.9984419792670907,-2.234641985602193,-2.0042315935327775,0.010032092944233018,Summer,2024
Poultney River,2024-06-20,2024-06-28,8,-2.0016423761220308,-1.9896666675715964,-2.2216736666677757,-1.9941995005885444,-0.007442875533486326,Summer,2024
Poultney River,2024-06-21,2024-06-21,0,-2.071803533724199,-2.4628431237083332,-2.2597694712478997,-2.524674620244897,0.45287108652069774,Summer,2024
Poultney River,2024-06-21,2024-06-22,1,-2.006077901595666,-2.421787353881055,-2.2675271320498633,-2.071803533724199,0.0657256321285331,Summer,2024
Poultney River,2024-06-21,2024-06-23,2,-2.0140054361769093,-2.366424557965377,-2.2694340275247793,-2.006077901595666,-0.00792753458124329,Summer,2024
Poultney River,2024-06-21,2024-06-24,3,-2.018589215175162,-2.304965276761479,-2.2686878475146055,-2.0140054361769093,-0.0045837789982527966,Summer,2024
Poultney River,2024-06-21,2024-06-25,4,-2.0284959039931434,-2.2387899623013214,-2.26591392760258,-2.018589215175162,-0.00990668881798129,Summer,2024
Poultney River,2024-06-21,2024-06-26,5,-2.034488207075213,-2.170986343631763,-2.2624856309958705,-2.0284959039931434,-0.005992303082069661,Summer,2024
Poultney River,2024-06-21,2024-06-27,6,-2.0341579886569314,-2.0997335454264556,-2.257514274734953,-2.034488207075213,3.302184182816248e-4,Summer,2024
Poultney River,2024-06-21,2024-06-28,7,-2.0388721484716457,-2.029659740913889,-2.254758230387354,-2.0341579886569314,-0.004714159814714236,Summer,2024
Poultney River,2024-06-21,2024-06-29,8,-2.04465825683142,-2.0249552573063814,-2.2466961910572825,-2.0388721484716457,-0.0057861083597745555,Summer,2024
Poultney River,2024-06-22,2024-06-22,0,-2.080584967651972,-2.482714804890564,-2.2812849435681395,-2.4982956907907625,0.41771072313879065,Summer,2024
Poultney River,2024-06-22,2024-06-23,1,-2.013973281697059,-2.4379958755543583,-2.285595292786807,-2.080584967651972,0.06661168595491285,Summer,2024
Poultney River,2024-06-22,2024-06-24,2,-2.018712720787396,-2.3765320008533393,-2.2848480755353484,-2.013973281697059,-0.0047394390903368055,Summer,2024
Poultney River,2024-06-22,2024-06-25,3,-2.0272675164060288,-2.310374330052072,-2.2820781396753302,-2.018712720787396,-0.008554795618632927,Summer,2024
Poultney River,2024-06-22,2024-06-26,4,-2.032101468952997,-2.242395227441497,-2.278610217662585,-2.0272675164060288,-0.004833952546968057,Summer,2024
Poultney River,2024-06-22,2024-06-27,5,-2.0275394541312335,-2.1708014666473017,-2.273561869849338,-2.032101468952997,0.004562014821763327,Summer,2024
Poultney River,2024-06-22,2024-06-28,6,-2.0335857556669144,-2.0997821572024926,-2.2705923243880064,-2.0275394541312335,-0.006046301535680865,Summer,2024
Poultney River,2024-06-22,2024-06-29,7,-2.039969962918135,-2.0333950236133713,-2.269746959500663,-2.0335857556669144,-0.006384207251220797,Summer,2024
Poultney River,2024-06-22,2024-06-30,8,-2.0410294933718833,-2.027592880079966,-2.2613152910383576,-2.039969962918135,-0.0010595304537481809,Summer,2024
Poultney River,2024-06-23,2024-06-23,0,-2.0874524550739495,-2.4944408075450175,-2.2983409225911493,-2.4756994915865853,0.3882470365126358,Summer,2024
Poultney River,2024-06-23,2024-06-24,1,-2.019936673186487,-2.4434739576121256,-2.299964001255074,-2.0874524550739495,0.06751578188746254,Summer,2024
Poultney River,2024-06-23,2024-06-25,2,-2.027565993759811,-2.3774911371535854,-2.2972335477305106,-2.019936673186487,-0.007629320573323994,Summer,2024
Poultney River,2024-06-23,2024-06-26,3,-2.03225570594491,-2.3095546741649793,-2.2937752540195,-2.027565993759811,-0.004689712185098838,Summer,2024
Poultney River,2024-06-23,2024-06-27,4,-2.0237608886240817,-2.237982947226772,-2.288731881593089,-2.03225570594491,0.00849481732082813,Summer,2024
Poultney River,2024-06-23,2024-06-28,5,-2.035635813393552,-2.1664238427095124,-2.285640446921849,-2.0237608886240817,-0.011874924769470496,Summer,2024
Poultney River,2024-06-23,2024-06-29,6,-2.0400314134042277,-2.100329574509911,-2.284861212928914,-2.035635813393552,-0.0043956000106755155,Summer,2024
Poultney River,2024-06-23,2024-06-30,7,-2.038218869278224,-2.038091277626717,-2.2809241498576123,-2.0400314134042277,0.0018125441260035124,Summer,2024
Poultney River,2024-06-23,2024-07-01,8,-2.0322489988496004,-2.0310579082273277,-2.2738996369255724,-2.038218869278224,0.005969870428623736,Summer,2024
Poultney River,2024-06-24,2024-06-24,0,-2.0675316502353187,-2.488207407983472,-2.3100651029518295,-2.400586607673373,0.33305495743805436,Summer,2024
Poultney River,2024-06-24,2024-06-25,1,-2.028502553376225,-2.429023869960479,-2.3088699712675513,-2.0675316502353187,0.03902909685909384,Summer,2024
Poultney River,2024-06-24,2024-06-26,2,-2.0327724635891364,-2.361221201202789,-2.3054418891570703,-2.028502553376225,-0.004269910212911565,Summer,2024
Poultney River,2024-06-24,2024-06-27,3,-2.0235438942610044,-2.2897232967851853,-2.3004151863320854,-2.0327724635891364,0.009228569328131986,Summer,2024
Poultney River,2024-06-24,2024-06-28,4,-2.0383616901559938,-2.218133193073201,-2.2973167518426822,-2.0235438942610044,-0.014817795894989327,Summer,2024
Poultney River,2024-06-24,2024-06-29,5,-2.0438308713994155,-2.1524283358396623,-2.2966254493582126,-2.0383616901559938,-0.005469181243421772,Summer,2024
Poultney River,2024-06-24,2024-06-30,6,-2.0437619937119442,-2.090732818670067,-2.2928109494480458,-2.0438308713994155,6.887768747132483e-5,Summer,2024
Poultney River,2024-06-24,2024-07-01,7,-2.0447134719458426,-2.039757873818434,-2.2883652637398377,-2.0437619937119442,-9.514782338984062e-4,Summer,2024
Poultney River,2024-06-24,2024-07-02,8,-2.0458192509821926,-2.0364981340627946,-2.2790218895021406,-2.0447134719458426,-0.0011057790363500075,Summer,2024
Poultney River,2024-06-25,2024-06-25,0,-2.0863016270012373,-2.469133656559809,-2.317927019854497,-2.3483001564306285,0.26199852942939117,Summer,2024
Poultney River,2024-06-25,2024-06-26,1,-2.0347309766246866,-2.4095879983199784,-2.3163634239899835,-2.0863016270012373,0.05157065037655073,Summer,2024
Poultney River,2024-06-25,2024-06-27,2,-2.03640031530776,-2.3383698814788816,-2.3113998990048557,-2.0347309766246866,-0.0016693386830732848,Summer,2024
Poultney River,2024-06-25,2024-06-28,3,-2.044665158336834,-2.2686164093450047,-2.308716187775025,-2.03640031530776,-0.008264843029074154,Summer,2024
Poultney River,2024-06-25,2024-06-29,4,-2.0493558535671714,-2.2038120475658722,-2.3082282229738085,-2.044665158336834,-0.004690695230337383,Summer,2024
Poultney River,2024-06-25,2024-06-30,5,-2.0528863238049952,-2.1429058135630985,-2.3045919482948594,-2.0493558535671714,-0.003530470237823824,Summer,2024
Poultney River,2024-06-25,2024-07-01,6,-2.0564740956087486,-2.0932343444390447,-2.3004405958154597,-2.0528863238049952,-0.003587771803753359,Summer,2024
Poultney River,2024-06-25,2024-07-02,7,-2.060063150072997,-2.0515449071787764,-2.2948525390211003,-2.0564740956087486,-0.003589054464248509,Summer,2024
Poultney River,2024-06-25,2024-07-03,8,-2.06171809850904,-2.0477965533318847,-2.2834266108380286,-2.060063150072997,-0.001654948436042858,Summer,2024
Poultney River,2024-06-26,2024-06-26,0,-2.0975263230489376,-2.452070066831617,-2.325956149137773,-2.38367610658271,0.2861497835337725,Summer,2024
Poultney River,2024-06-26,2024-06-27,1,-2.0370169559096083,-2.3898227137654136,-2.3230182804889115,-2.0975263230489376,0.060509367139329306,Summer,2024
Poultney River,2024-06-26,2024-06-28,2,-2.0445202497496706,-2.3201573331460863,-2.3203544608913984,-2.0370169559096083,-0.0075032938400623195,Summer,2024
Poultney River,2024-06-26,2024-06-29,3,-2.049956247911824,-2.255332270140216,-2.319861821619628,-2.0445202497496706,-0.005435998162153233,Summer,2024
Poultney River,2024-06-26,2024-06-30,4,-2.0424279236345098,-2.1945118067581073,-2.316244914500184,-2.049956247911824,0.007528324277314091,Summer,2024
Poultney River,2024-06-26,2024-07-01,5,-2.0546623800515214,-2.143346280466841,-2.311756194273349,-2.0424279236345098,-0.012234456417011597,Summer,2024
Poultney River,2024-06-26,2024-07-02,6,-2.0581581119564074,-2.1013980266983974,-2.30610969504166,-2.0546623800515214,-0.003495731904886057,Summer,2024
Poultney River,2024-06-26,2024-07-03,7,-2.0600202483163783,-2.054895456037497,-2.3000620550135515,-2.0581581119564074,-0.0018621363599709007,Summer,2024
Poultney River,2024-06-26,2024-07-04,8,-2.060857597966174,-2.049537445361417,-2.2851002564063343,-2.0600202483163783,-8.373496497955379e-4,Summer,2024
Poultney River,2024-06-27,2024-06-27,0,-2.108339465735254,-2.440470179295348,-2.3344548049634124,-2.452058581758478,0.343719116023224,Summer,2024
Poultney River,2024-06-27,2024-06-28,1,-2.045494136237034,-2.380993728651113,-2.3340917114893074,-2.108339465735254,0.06284532949822008,Summer,2024
Poultney River,2024-06-27,2024-06-29,2,-2.050963421561397,-2.3163077922862945,-2.333630487910678,-2.045494136237034,-0.005469285324363415,Summer,2024
Poultney River,2024-06-27,2024-06-30,3,-2.0440100045268776,-2.255631210854125,-2.330046070263801,-2.050963421561397,0.006953417034519571,Summer,2024
Poultney River,2024-06-27,2024-07-01,4,-2.0566443320681396,-2.2046916961189114,-2.3256083849044615,-2.0440100045268776,-0.012634327541261925,Summer,2024
Poultney River,2024-06-27,2024-07-02,5,-2.0615602123864734,-2.1630265783528415,-2.320025819608792,-2.0566443320681396,-0.004915880318333787,Summer,2024
Poultney River,2024-06-27,2024-07-03,6,-2.0637686465783363,-2.1170100220390933,-2.3140879247558472,-2.0615602123864734,-0.002208434191862896,Summer,2024
Poultney River,2024-06-27,2024-07-04,7,-2.065227902839048,-2.061540031299073,-2.3059959036889808,-2.0637686465783363,-0.0014592562607118609,Summer,2024
Poultney River,2024-06-27,2024-07-05,8,-2.0651772524549834,-2.055381236599615,-2.2888558413170905,-2.065227902839048,5.06503840647099e-5,Summer,2024
Poultney River,2024-06-28,2024-06-28,0,-2.118369261695744,-2.436133085245397,-2.3465425339460815,-2.4943149618952405,0.37594570019949636,Summer,2024
Poultney River,2024-06-28,2024-06-29,1,-2.051587080779515,-2.3818578810889655,-2.3484321208661196,-2.118369261695744,0.066782180916229,Summer,2024
Poultney River,2024-06-28,2024-06-30,2,-2.031980799939142,-2.3212703938308126,-2.344867821258537,-2.051587080779515,0.01960628084037319,Summer,2024
Poultney River,2024-06-28,2024-07-01,3,-2.053181829247494,-2.2686124212973513,-2.3400420970415285,-2.031980799939142,-0.021201029308352215,Summer,2024
Poultney River,2024-06-28,2024-07-02,4,-2.062220845654324,-2.226452660271189,-2.334347838106484,-2.053181829247494,-0.009039016406829692,Summer,2024
Poultney River,2024-06-28,2024-07-03,5,-2.064504885904275,-2.1805304801385623,-2.3284312540041148,-2.062220845654324,-0.0022840402499513246,Summer,2024
Poultney River,2024-06-28,2024-07-04,6,-2.066162376126745,-2.125165666445105,-2.3203629825929233,-2.064504885904275,-0.0016574902224699706,Summer,2024
Poultney River,2024-06-28,2024-07-05,7,-2.0675496791593906,-2.06400101133532,-2.311362508384678,-2.066162376126745,-0.0013873030326454483,Summer,2024
Poultney River,2024-06-28,2024-07-06,8,-2.0688392633592696,-2.0567410709729836,-2.2922214925696016,-2.0675496791593906,-0.0012895841998790125,Summer,2024
Poultney River,2024-06-29,2024-06-29,0,-2.1141317116469875,-2.4421263581470565,-2.362041131814721,-2.5402486011023795,0.42611688945539195,Summer,2024
Poultney River,2024-06-29,2024-06-30,1,-2.052682401617118,-2.3904738181556855,-2.3604944009447983,-2.1141317116469875,0.06144931002986942,Summer,2024
Poultney River,2024-06-29,2024-07-01,2,-2.056289748049501,-2.340773217290506,-2.3563364703303056,-2.052682401617118,-0.0036073464323829185,Summer,2024
Poultney River,2024-06-29,2024-07-02,3,-2.066111616647073,-2.299057444664631,-2.3507424668404866,-2.056289748049501,-0.00982186859757217,Summer,2024
Poultney River,2024-06-29,2024-07-03,4,-2.069730363871906,-2.2536910889595396,-2.3449513914798192,-2.066111616647073,-0.0036187472248325747,Summer,2024
Poultney River,2024-06-29,2024-07-04,5,-2.0728121447700034,-2.1990727721186007,-2.3370516838740354,-2.069730363871906,-0.0030817808980976302,Summer,2024
Poultney River,2024-06-29,2024-07-05,6,-2.075752818551512,-2.1388580839578526,-2.3282657183317013,-2.0728121447700034,-0.0029406737815085293,Summer,2024
Poultney River,2024-06-29,2024-07-06,7,-2.074087931588126,-2.072501543593443,-2.316860418846506,-2.075752818551512,0.0016648869633857366,Summer,2024
Poultney River,2024-06-29,2024-07-07,8,-2.0734163857945003,-2.0667810035850342,-2.2990782916250887,-2.074087931588126,6.715457936259384e-4,Summer,2024
Poultney River,2024-06-30,2024-06-30,0,-2.1175678385644767,-2.4490015106923697,-2.3737103315175982,-2.523825559403779,0.4062577208393021,Summer,2024
Poultney River,2024-06-30,2024-07-01,1,-2.0593843694341687,-2.4085702579625274,-2.3716454795143105,-2.1175678385644767,0.05818346913030803,Summer,2024
Poultney River,2024-06-30,2024-07-02,2,-2.0675424042403083,-2.3672965741058904,-2.366151302520771,-2.0593843694341687,-0.008158034806139636,Summer,2024
Poultney River,2024-06-30,2024-07-03,3,-2.0721131589979715,-2.3221346166284045,-2.360406381598595,-2.0675424042403083,-0.00457075475766322,Summer,2024
Poultney River,2024-06-30,2024-07-04,4,-2.07476791423755,-2.267856699091189,-2.3525835383517166,-2.0721131589979715,-0.002654755239578588,Summer,2024
Poultney River,2024-06-30,2024-07-05,5,-2.079468100747355,-2.207921406568662,-2.3438606621470455,-2.07476791423755,-0.004700186509805082,Summer,2024
Poultney River,2024-06-30,2024-07-06,6,-2.084749210796215,-2.1420956208036586,-2.332575210474619,-2.079468100747355,-0.005281110048859894,Summer,2024
Poultney River,2024-06-30,2024-07-07,7,-2.089023887130413,-2.079370428145435,-2.32138391610702,-2.084749210796215,-0.004274676334198091,Summer,2024
Poultney River,2024-06-30,2024-07-08,8,-2.091115658070422,-2.075292720797712,-2.311713426681594,-2.089023887130413,-0.002091770940008786,Summer,2024
Poultney River,2024-07-01,2024-07-01,0,-2.131520467495243,-2.4621652568655117,-2.3837475760407907,-2.4927328308853656,0.3612123633901225,Summer,2024
Poultney River,2024-07-01,2024-07-02,1,-2.068715238627544,-2.4311967298747423,-2.3805803699524475,-2.131520467495243,0.06280522886769901,Summer,2024
Poultney River,2024-07-01,2024-07-03,2,-2.074457355293545,-2.3862023201668614,-2.3748732823976013,-2.068715238627544,-0.005742116666000996,Summer,2024
Poultney River,2024-07-01,2024-07-04,3,-2.0803738090979547,-2.332259287814728,-2.3671260583860643,-2.074457355293545,-0.005916453804409638,Summer,2024
Poultney River,2024-07-01,2024-07-05,4,-2.086501149838802,-2.2731248374151156,-2.3585840174994703,-2.0803738090979547,-0.006127340740847309,Summer,2024
Poultney River,2024-07-01,2024-07-06,5,-2.092831828636858,-2.2083037729488906,-2.3475254383783812,-2.086501149838802,-0.006330678798056155,Summer,2024
Poultney River,2024-07-01,2024-07-07,6,-2.079595235040611,-2.1467332399821877,-2.336594873618545,-2.092831828636858,0.013236593596247292,Summer,2024
Poultney River,2024-07-01,2024-07-08,7,-2.0995144899562486,-2.087713583432937,-2.334395930263882,-2.079595235040611,-0.01991925491563773,Summer,2024
Poultney River,2024-07-01,2024-07-09,8,-2.1040247795787375,-2.083141300927366,-2.322148670471191,-2.0995144899562486,-0.004510289622488894,Summer,2024
Poultney River,2024-07-02,2024-07-02,0,-2.145954462081766,-2.491373806941857,-2.3941687421934086,-2.5527600069650465,0.4068055448832806,Summer,2024
Poultney River,2024-07-02,2024-07-03,1,-2.0746569748336965,-2.4574135720131505,-2.390953242491925,-2.145954462081766,0.07129748724806939,Summer,2024
Poultney River,2024-07-02,2024-07-04,2,-2.08066613459452,-2.4034990567381818,-2.383212457820392,-2.0746569748336965,-0.00600915976082339,Summer,2024
Poultney River,2024-07-02,2024-07-05,3,-2.086888895824156,-2.3444063671237934,-2.374679846788527,-2.08066613459452,-0.0062227612296359425,Summer,2024
Poultney River,2024-07-02,2024-07-06,4,-2.0934337080123298,-2.27964069494119,-2.3636337756024486,-2.086888895824156,-0.006544812188173932,Summer,2024
Poultney River,2024-07-02,2024-07-07,5,-2.100133550607435,-2.2181561447424114,-2.3527226263063374,-2.0934337080123298,-0.006699842595105032,Summer,2024
Poultney River,2024-07-02,2024-07-08,6,-2.10693040746093,-2.1620705332741355,-2.3511862092602818,-2.100133550607435,-0.006796856853495292,Summer,2024
Poultney River,2024-07-02,2024-07-09,7,-2.1137786826266005,-2.0983805904878334,-2.348492134772326,-2.10693040746093,-0.006848275165670437,Summer,2024
Poultney River,2024-07-02,2024-07-10,8,-2.1173294023723446,-2.0937840505656666,-2.3377918561043134,-2.1137786826266005,-0.0035507197457440576,Summer,2024
Poultney River,2024-07-03,2024-07-03,0,-2.156772680378128,-2.5238317199176574,-2.4059508887929426,-2.610881497413314,0.4541088170351859,Summer,2024
Poultney River,2024-07-03,2024-07-04,1,-2.0806811309509405,-2.4816480197204647,-2.40085899784865,-2.156772680378128,0.07609154942718765,Summer,2024
Poultney River,2024-07-03,2024-07-05,2,-2.0869497501471184,-2.4225574724427075,-2.392326870570217,-2.0806811309509405,-0.006268619196177827,Summer,2024
Poultney River,2024-07-03,2024-07-06,3,-2.0934877636383087,-2.357800493734813,-2.381282762426815,-2.0869497501471184,-0.00653801349119032,Summer,2024
Poultney River,2024-07-03,2024-07-07,4,-2.100133550607435,-2.2963236657683175,-2.3703733568605743,-2.0934877636383087,-0.0066457869691260996,Summer,2024
Poultney River,2024-07-03,2024-07-08,5,-2.106906511646354,-2.2402380543000415,-2.3688369398145186,-2.100133550607435,-0.006772961038919334,Summer,2024
Poultney River,2024-07-03,2024-07-09,6,-2.1131479576779437,-2.1765446978259426,-2.366142094493835,-2.106906511646354,-0.006241446031589604,Summer,2024
Poultney River,2024-07-03,2024-07-10,7,-2.119628019557819,-2.1054399064351754,-2.3655259957101746,-2.1131479576779437,-0.006480061879875265,Summer,2024
Poultney River,2024-07-03,2024-07-11,8,-2.1220543209467935,-2.1001335263179883,-2.3559131973008323,-2.119628019557819,-0.0024263013889744833,Summer,2024
Poultney River,2024-07-04,2024-07-04,0,-2.134698633759808,-2.5522565164475752,-2.41680285194832,-2.6510321574679008,0.5163335237080928,Summer,2024
Poultney River,2024-07-04,2024-07-05,1,-2.087056265734819,-2.5008827552853705,-2.4100132247604957,-2.134698633759808,0.04764236802498889,Summer,2024
Poultney River,2024-07-04,2024-07-06,2,-2.093564997634334,-2.436140993090005,-2.398972552603794,-2.087056265734819,-0.006508731899514952,Summer,2024
Poultney River,2024-07-04,2024-07-07,3,-2.100274725922897,-2.3746751985515124,-2.3880656384567795,-2.093564997634334,-0.006709728288563088,Summer,2024
Poultney River,2024-07-04,2024-07-08,4,-2.1069702367405645,-2.3186097549854456,-2.386533775453158,-2.100274725922897,-0.006695510817667394,Summer,2024
Poultney River,2024-07-04,2024-07-09,5,-2.113204523799942,-2.254925502096234,-2.3838409857806746,-2.1069702367405645,-0.0062342870593776745,Summer,2024
Poultney River,2024-07-04,2024-07-10,6,-2.1199890495849156,-2.183828791580038,-2.3832267117106274,-2.113204523799942,-0.006784525784973461,Summer,2024
Poultney River,2024-07-04,2024-07-11,7,-2.126139625297859,-2.107965490453897,-2.3844917803437045,-2.1199890495849156,-0.006150575712943418,Summer,2024
